"Cart Price Rules","Cart Price Rules"
"Total Number of Orders","Total Number of Orders"
"Total Sales Amount","Total Sales Amount"
"Has Special Price","Has Special Price"
"Is Discounted","Is Discounted"
is,is
"is not","is not"
Yes,Yes
No,No
"Visualize Rules","Visualize Rules"
"Use Auto Generation","Use Auto Generation"
"NOT LOGGED IN","NOT LOGGED IN"
Edit,Edit
Priority,Priority
"From Date","From Date"
"To Date","To Date"
Websites,Websites
"Customer Groups","Customer Groups"
Coupon,Coupon
"Discard subsequent rules","Discard subsequent rules"
Conditions,Conditions
"Cart Items","Cart Items"
"Coupon Success Message","Coupon Success Message"
"Coupon Error Message","Coupon Error Message"
"General Information","General Information"
